Data,Kolor i Nazwa,Wynik
2024-12-13 18:09:33,🔴 ivar,30
2024-12-13 19:09:29,🔵 qwe,20
2024-12-13 19:09:29,🔴 asd,15
2024-12-13 18:09:33,🟡 asd,10
2024-12-13 18:35:45,🔵 asdf,10
2024-12-13 18:44:06,🔵 asdad,10
2024-12-13 18:49:08,🔵 asd,10
2024-12-13 19:05:04,🔵 sad,10
2024-12-13 19:09:29,🟢 zxc,10
2024-12-13 19:09:29,🟡 gdf,10
2024-12-13 18:06:02,🔵 olo,0
2024-12-13 18:06:02,🔴 jan,0
2024-12-13 18:06:02,🟢 ivar,0
2024-12-13 18:06:02,🟡 przem,0
2024-12-13 18:09:33,🔵 olo,0
2024-12-13 18:09:33,🟢 sdad,0
2024-12-13 18:35:45,🔴 sdfg,0
2024-12-13 18:35:45,🟢 sdg,0
2024-12-13 18:35:45,🟡 dfhb,0
2024-12-13 18:44:06,🔴 asdfczx,0
2024-12-13 18:44:06,🟢 vnjjk,0
2024-12-13 18:44:06,🟡 o,0
2024-12-13 18:49:08,🔴 xczv,0
2024-12-13 18:49:08,🟢 hgf,0
2024-12-13 18:49:08,🟡 uyt,0
2024-12-13 19:05:04,🔴 xzc,0
2024-12-13 19:05:04,🟢 gfd,0
2024-12-13 19:05:04,🟡 ytr,0
2024-12-13 19:41:40,🔵 aegfds,0
2024-12-13 19:41:40,🔴 fsefs,0
2024-12-13 19:41:40,🟢 efssef,0
2024-12-13 19:41:40,🟡 ssefs,0
